Province/State,Country/Region,Lat,Long,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20
Miyazaki,Japan,32.1908,32.1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,8,10,11,12,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,23,27,36,62,67,85,104,121,141,157,176,195,207,215,226,235,248,254,261,263,269,274,277,282,288,294,299,318,324,330,338,342,346,351,351,351,352,355,357,358,359,359,359,359,360,360,360,360,360,360,361,363,363,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,366,366,366,366,366,366,366,366,366,366,367,367,367,367,367,367,367,367,367,367,369,371,371,372,372,372,373,373,373,373,373,373,373,373,373,373
Chubu Kokusai Airport,Japan,34.8592,136.8163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shiga,Japan,35.2153,35.2153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,5,5,5,6,6,6,6,6,7,7,8,14,17,18,19,24,26,33,34,38,38,40,51,52,57,68,70,71,72,76,88,92,93,94,94,94,96,96,96,96,96,96,98,98,98,98,98,98,98,98,98,98,98,99,100,100,100,100,100,100,100,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,104,104,104,104,104,104,104,105,105,105,105,107,107,107,108,109,110,110,111,112,119,132,146,152,154,154,156,170,171,176,179,187,192,213,229,247,269,286,295,303,309,314,322,328,336,345,354,358,364,370,377,384,398,402,424,426,432,437,446,453,459,459,461,464,467,469,471,471,473,476,476,476,477,480,480,481,481,484,484,486,486,488,488,488,490,493,496,504,504,504,510,511,512,512,513,514,515,516,521,522,523,524,524,527,527,528,529,530,531,534,537,539,540,542,545,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547
Yamanashi,Japan,35.6122,35.6122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,5,6,9,9,11,14,15,15,22,25,27,30,33,35,36,37,40,43,47,48,49,49,50,51,51,51,52,52,52,53,53,53,54,55,56,56,56,56,56,56,56,56,57,58,58,58,58,58,58,59,61,61,61,61,61,61,61,61,62,64,65,65,65,65,66,66,66,66,67,68,68,69,69,70,71,71,71,71,72,72,72,72,72,72,72,72,72,72,73,75,75,75,76,76,76,76,76,76,76,76,76,76,77,77,77,77,77,77,78,78,78,79,80,81,82,86,87,87,87,89,91,91,95,98,102,104,108,111,115,125,128,130,131,133,133,136,136,139,140,140,142,149,159,162,163,164,167,168,169,172,172,172,173,173,173,173,173,174,174,175,176,178,178,178,179,179,179,179,179,179,180,180,180,180,180,180,180,180,180,181,181,182,183,186,190,193,193,194,194,195,196,196,196,196,196,197,197,199,199,199,199,199,199,199,199,202,202,203,203,203,206,209,212,212,213,216,216,218,218,221,225,225,225,225,225,225,225,225,225,225,225,225,225
Akita,Japan,39.7475,39.7475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,5,6,7,9,10,11,11,11,11,11,11,13,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,18,18,18,18,18,18,18,18,18,18,18,18,32,34,35,35,35,36,37,37,40,42,43,44,44,45,45,45,45,45,46,48,48,48,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,60,61,61,61,61,61,61,61,61,61,62,63,63,64,64,66,67,67,67,67,67,67,67,67,67,67,67,67,67
Hiroshima,Japan,34.6036,34.6036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,4,4,4,6,6,6,6,10,11,14,15,15,20,20,24,25,31,56,64,73,109,115,121,124,131,137,138,141,144,144,146,148,149,153,154,155,159,160,161,165,165,165,165,165,165,165,165,165,165,165,165,165,165,166,166,166,166,167,167,167,167,167,167,167,167,167,167,167,167,167,167,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,169,169,169,169,169,169,170,171,171,172,178,179,182,183,191,197,203,207,208,211,217,226,240,250,256,261,263,282,299,308,323,345,355,364,376,382,394,396,399,409,416,422,426,431,434,436,438,438,438,439,444,449,450,452,452,453,454,455,457,459,459,459,459,460,460,460,460,460,461,465,465,465,465,467,468,471,475,475,475,475,476,477,480,488,492,494,498,508,518,534,549,568,580,589,603,604,605,610,614,619,623,626,628,642,643,644,647,648,650,651,652,652,652,653,654,656,657,657,658,659,660,660,663,663,663,663,666,667,671,673,677,679,681,683,683,683,683,683,683,683,683
Fukushima,Japan,37.3789,37.3789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,8,9,14,16,16,24,29,33,36,37,38,38,39,40,49,52,60,62,64,64,65,65,66,68,69,69,70,72,73,74,75,78,78,79,80,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,83,83,83,83,84,84,84,84,84,84,84,84,85,86,86,86,86,86,86,87,87,89,89,89,89,89,91,93,95,98,98,98,98,106,107,108,111,111,112,115,119,126,128,130,131,134,140,145,152,157,163,164,167,173,174,178,179,181,184,185,190,192,192,200,204,208,211,214,217,218,218,221,225,226,228,232,242,242,247,251,251,254,254,264,264,268,270,273,280,288,296,303,315,318,320,325,333,348,360,363,370,370,375,379,380,386,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387
Gunma,Japan,36.5039,36.5039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,5,5,6,10,10,10,11,11,11,11,14,14,14,14,18,18,18,20,20,21,25,26,26,26,29,29,33,44,79,90,90,96,110,112,114,121,122,124,131,134,138,140,140,141,146,146,146,146,146,146,146,146,146,147,147,147,147,147,147,147,147,147,147,147,147,147,148,148,148,149,149,149,149,149,149,149,149,149,149,149,149,149,149,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,152,152,152,152,152,152,153,153,153,154,155,155,155,155,155,155,155,155,155,157,157,160,164,166,167,167,167,169,174,177,177,179,179,179,182,183,187,190,198,199,201,204,210,215,221,229,234,234,239,247,257,274,279,298,309,324,338,354,365,375,381,385,395,414,428,434,436,438,444,448,451,464,472,479,483,492,500,502,510,530,543,550,553,576,594,614,635,656,665,671,683,685,695,698,698,699,699,701,705,719,720,728,728,729,734,736,743,748,757,761,761,763,764,765,767,771,774,785,803,807,837,852,865,870,872,882,887,892,898,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
Haneda Airport,Japan,35.5448,139.7672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,5,6,7,8,8,10,10,13,13,13,24,24,28,28,32,32,36,40,40,57,57,61,68,68,71,71,75,75,75,75,76,78,78,80,81,81,83,84,84,85,85,87,87,87,87,87,87,87,87,88,88,88,88,88,89,89,89,90,90,90,90,90,91,91,91,92,92,96,97,97,98,100,100,101,102,103,103,103,104,108,108,108,108,108,109,110,110,110,110,111,111,111,111,114,114,115,115,116,118,119,119,120,120,120,120,121,122,123,123,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
Saga,Japan,33.2853,33.2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,5,6,8,8,11,11,12,12,13,13,13,15,15,15,16,16,17,17,17,19,21,36,37,37,37,38,41,41,42,42,44,45,45,45,45,45,45,45,45,45,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,49,55,57,63,66,67,67,71,74,77,85,92,97,106,113,123,135,142,147,156,159,164,176,181,191,196,197,200,201,205,209,216,220,224,226,227,229,231,237,239,239,239,239,241,241,241,242,242,243,244,244,245,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,248,248,248,248,248,248,249,249,249,250,252,252,252,252,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253
Nagasaki,Japan,33.2275,33.2275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,5,8,10,11,12,12,13,13,13,14,14,14,14,14,15,16,17,17,17,18,18,51,65,108,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,172,180,180,180,180,180,181,181,182,184,190,192,193,194,195,200,202,202,202,205,205,206,206,207,208,213,216,219,219,237,262,267,285,290,295,298,309,316,317,318,318,320,325,332,333,333,336,336,338,340,344,348,352,356,360,367,371,374,378,379,380,380,382,382,382,382,382,382,382,382,382,383,383,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,386,386,386,386,386,386,386,387,389,389,389,389,389,389,389,389,390,390,390,390,390,390,391,392,392,392,392,392,392,392,393,393,393,393,393,394,397,397,397,397,397,397,397,397,397,397,397,397,397
Kagawa,Japan,34.2431,34.2431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,8,19,20,21,22,24,25,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,30,31,32,42,43,44,44,44,44,45,45,45,45,45,45,46,46,46,46,46,46,46,48,53,57,58,59,60,60,60,60,61,62,63,65,65,68,68,71,71,71,71,74,74,75,75,78,78,78,78,80,83,85,85,85,85,86,87,87,88,88,90,90,93,93,93,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,95,97,97,97,97,98,99,100,100,100,100,101,102,102,102,102,102,102,102,102,102,102,102,102,102,103,104,104,105,105,105,105,105,105,105,105,105,105,105
Ibaraki,Japan,36.3064,36.3064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,4,5,10,10,10,13,16,16,20,25,43,44,54,59,64,71,77,77,82,91,109,110,111,116,120,131,134,137,140,144,150,152,156,158,160,161,161,162,163,163,165,165,167,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,169,170,170,170,170,170,171,172,172,173,174,174,176,176,182,183,183,186,187,189,190,196,198,200,203,205,212,216,218,225,226,230,235,237,238,239,239,244,254,269,277,295,308,318,329,334,350,364,374,385,398,404,408,419,433,445,452,455,459,467,481,483,495,499,506,510,515,525,534,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,655,660,663,669,674,679,680,686,696,701,704,709,712,712,713,718,722,726,728,730,731,733,734,738,740,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742
Narita Airport,Japan,35.7719,140.3928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,6,6,6,6,9,9,12,12,12,24,24,24,24,24,24,24,24,24,24,24,24,46,46,47,47,47,47,48,49,49,49,50,50,50,50,51,52,53,55,57,57,57,58,58,58,58,59,61,61,61,63,63,64,64,64,64,65,65,65,65,65,65,65,66,67,68,68,70,72,81,83,87,87,87,90,93,96,96,98,98,113,114,115,119,121,134,144,146,148,151,154,154,157,160,161,167,169,173,174,175,175,181,181,183,183,188,198,201,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205
Fukui,Japan,35.8467,35.8467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,6,9,12,13,20,21,35,39,46,53,59,65,72,77,82,86,88,92,92,99,101,104,105,108,112,118,118,119,120,120,121,121,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,123,124,124,125,125,126,126,126,126,126,126,127,127,128,129,129,129,137,137,139,139,140,143,146,150,152,154,154,154,154,154,154,154,154,154,155,155,155,155,156,157,161,163,164,171,177,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,246,247,248,249,249,249,249,249,249,250,254,254,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
Kansai Kokusai Airport,Japan,34.4361,135.2432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,4,4,4,6,6,6,6,6,6,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,13,15,15,15,15,15,15,16,16,18,19,19,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Okayama,Japan,34.9008,34.9008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,4,4,7,8,9,11,11,12,14,14,15,15,15,15,15,16,16,17,18,19,19,19,19,19,19,21,22,22,22,23,23,23,23,23,23,23,23,23,23,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,30,32,34,36,41,41,44,44,45,49,59,61,64,65,75,76,79,85,88,91,96,99,103,106,107,111,113,115,117,119,123,125,126,126,128,128,129,131,133,138,141,142,142,143,145,145,145,145,145,145,146,146,146,146,146,146,146,146,146,146,146,147,147,147,147,148,148,148,148,148,148,149,150,152,153,154,154,157,157,157,158,158,161,161,161,162,163,163,163,163,164,168,168,170,172,173,173,173,186,189,190,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
Aomori,Japan,40.7803,40.7803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,6,7,7,8,8,8,9,11,11,11,11,12,12,14,17,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,29,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,37,37,37,37,37,37,37,37,37,37,39,39,41,57,83,101,106,122,135,144,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149
Kagoshima,Japan,31.0128,31.0128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,7,8,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,21,52,86,98,110,120,123,132,137,143,149,151,157,159,162,163,165,170,172,173,189,203,209,214,217,228,231,235,252,255,256,256,259,265,270,275,277,277,277,277,277,277,279,297,323,323,328,337,337,340,340,341,342,346,348,349,352,360,361,361,363,363,365,369,370,371,371,371,372,372,372,372,372,372,373,376,376,376,377,377,378,387,389,392,400,404,410,412,415,417,421,423,425,428,432,439,440,447,447,449,454,456,456,459,462,463,463,463,463,463,463,463,463,463,463,463,463,463,468,469,470,474,475,481,488,498,515,523,532,536,542,547,547,547,547,547,547,547,547
